Date,City,Country,% Change In Waze Driven Miles/KMs
"Jun 20, 2020",Portland,United States,-0.56
"Jun 20, 2020",Lisbon,Portugal,-0.56
"Jun 20, 2020",Cape Town,South Africa,-0.55
"Jun 20, 2020",Washington,United States,-0.54
"Jun 20, 2020",Bogota,Colombia,-0.54
"Jun 20, 2020",Santiago,Chile,-0.54
"Jun 20, 2020",Tangerang,Indonesia,-0.53
"Jun 20, 2020",Lima,Peru,-0.52
"Jun 20, 2020",Bekasi,Indonesia,-0.52
"Jun 20, 2020",Monterrey,Mexico,-0.51
"Jun 20, 2020",Barcelona,Spain,-0.51
"Jun 20, 2020",Boston,United States,-0.51
"Jun 20, 2020",Cambridge,United States,-0.51
"Jun 20, 2020",Belo Horizonte,Brazil,-0.5
"Jun 20, 2020",Denver,United States,-0.5
"Jun 20, 2020",Quezon City,Philippines,-0.5
"Jun 20, 2020",Zapopan,Mexico,-0.49
"Jun 20, 2020",Ottawa,Canada,-0.49
"Jun 20, 2020",Rio De Janeiro,Brazil,-0.49
"Jun 20, 2020",San Francisco,United States,-0.49
"Jun 20, 2020",Medellin,Colombia,-0.48
"Jun 20, 2020",Madrid,Spain,-0.48
"Jun 20, 2020",Irvine,United States,-0.47
"Jun 20, 2020",Santiago De Queretaro,Mexico,-0.47
"Jun 20, 2020",San Jose,United States,-0.47
"Jun 20, 2020",Detroit,United States,-0.47
"Jun 20, 2020",Los Angeles,United States,-0.47
"Jun 20, 2020",Miami,United States,-0.46
"Jun 20, 2020",Quito,Ecuador,-0.46
"Jun 20, 2020",Seattle,United States,-0.45
"Jun 20, 2020",Minneapolis,United States,-0.45
"Jun 20, 2020",Orlando,United States,-0.45
"Jun 20, 2020",Birmingham,United Kingdom,-0.45
"Jun 20, 2020",Guadalajara,Mexico,-0.44
"Jun 20, 2020",Mississauga,Canada,-0.43
"Jun 20, 2020",San Antonio,United States,-0.43
"Jun 20, 2020",Manila,Philippines,-0.43
"Jun 20, 2020",Fort Lauderdale,United States,-0.42
"Jun 20, 2020",Perth,Australia,-0.42
"Jun 20, 2020",Sao Paulo,Brazil,-0.41
"Jun 20, 2020",San Diego,United States,-0.41
"Jun 20, 2020",Austin,United States,-0.41
"Jun 20, 2020",Guarulhos,Brazil,-0.41
"Jun 20, 2020",Philadelphia,United States,-0.4
"Jun 20, 2020",Phoenix,United States,-0.39
"Jun 20, 2020",Sacramento,United States,-0.39
"Jun 20, 2020",Chicago,United States,-0.38
"Jun 20, 2020",Johor Bahru,Malaysia,-0.38
"Jun 20, 2020",Houston,United States,-0.37
"Jun 20, 2020",Vaughan,Canada,-0.37
"Jun 20, 2020",Dallas,United States,-0.37
"Jun 20, 2020",Cincinnati,United States,-0.37
"Jun 20, 2020",Toronto,Canada,-0.37
"Jun 20, 2020",Atlanta,United States,-0.37
"Jun 20, 2020",Curitiba,Brazil,-0.36
"Jun 20, 2020",Milan,Italy,-0.36
"Jun 20, 2020",Hartford,United States,-0.35
"Jun 20, 2020",Doha,Qatar,-0.35
"Jun 20, 2020",Baltimore,United States,-0.34
"Jun 20, 2020",Pittsburgh,United States,-0.34
"Jun 20, 2020",New York,United States,-0.34
"Jun 20, 2020",Oakland,United States,-0.34
"Jun 20, 2020",Fortaleza,Brazil,-0.33
"Jun 20, 2020",Las Condes,Chile,-0.33
"Jun 20, 2020",Kuala Lumpur,Malaysia,-0.33
"Jun 20, 2020",Miami Beach,United States,-0.33
"Jun 20, 2020",Petaling Jaya,Malaysia,-0.32
"Jun 20, 2020",Antwerp,Belgium,-0.32
"Jun 20, 2020",Melbourne,Australia,-0.32
"Jun 20, 2020",Brussels,Belgium,-0.3
"Jun 20, 2020",Rome,Italy,-0.3
"Jun 20, 2020",London,United Kingdom,-0.3
"Jun 20, 2020",Jersey City,United States,-0.3
"Jun 20, 2020",Amsterdam,Netherlands,-0.29
"Jun 20, 2020",Fort Worth,United States,-0.29
"Jun 20, 2020",Nashville,United States,-0.29
"Jun 20, 2020",Luton,United Kingdom,-0.29
"Jun 20, 2020",Lyon,France,-0.28
"Jun 20, 2020",Maipu,Chile,-0.27
"Jun 20, 2020",Liverpool,United Kingdom,-0.26
"Jun 20, 2020",Raleigh,United States,-0.26
"Jun 20, 2020",Vilnius,Lithuania,-0.26
"Jun 20, 2020",Sydney,Australia,-0.25
"Jun 20, 2020",Berlin,Germany,-0.25
"Jun 20, 2020",Shah Alam,Malaysia,-0.24
"Jun 20, 2020",Calgary,Canada,-0.24
"Jun 20, 2020",Bratislava,Slovakia,-0.24
"Jun 20, 2020",Porto Alegre,Brazil,-0.24
"Jun 20, 2020",Bristol,United Kingdom,-0.23
"Jun 20, 2020",Warsaw,Poland,-0.23
"Jun 20, 2020",Charlotte,United States,-0.22
"Jun 20, 2020",Krakow,Poland,-0.21
"Jun 20, 2020",Toulouse,France,-0.2
"Jun 20, 2020",Quebec City,Canada,-0.2
"Jun 20, 2020",Paris,France,-0.19
"Jun 20, 2020",Lille,France,-0.18
"Jun 20, 2020",Montreal,Canada,-0.18
"Jun 20, 2020",Bordeaux,France,-0.18
"Jun 20, 2020",Singapore,Singapore,-0.17
"Jun 20, 2020",Gold Coast,Australia,-0.16
"Jun 20, 2020",Prague,Czechia,-0.15
"Jun 20, 2020",Bucharest,Romania,-0.15
"Jun 20, 2020",Ghent,Belgium,-0.15
"Jun 20, 2020",Montevideo,Uruguay,-0.15
"Jun 20, 2020",Budapest,Hungary,-0.14
"Jun 20, 2020",Jerusalem,Israel,-0.11
"Jun 20, 2020",Brisbane,Australia,-0.1
"Jun 20, 2020",South Tangerang,Indonesia,-0.1
"Jun 20, 2020",Puchong,Malaysia,-0.09
"Jun 20, 2020",Tel Aviv-Yafo,Israel,-0.09
"Jun 20, 2020",Riga,Latvia,-0.07
"Jun 20, 2020",Hamilton,Canada,-0.06
"Jun 20, 2020",Rishon Letsiyon,Israel,-0.05
"Jun 20, 2020",Haifa,Israel,-0.04
"Jun 20, 2020",Rotterdam,Netherlands,-0.02
"Jun 20, 2020",Be'er Sheva,Israel,0.02
"Jun 20, 2020",Stockholm,Sweden,0.06
"Jun 20, 2020",Marseille,France,0.09
"Jun 20, 2020",Ipoh,Malaysia,0.09
"Jun 20, 2020",Lviv,Ukraine,0.1
"Jun 20, 2020",Brno,Czechia,0.15
"Jun 20, 2020",Kaunas,Lithuania,0.17
"Jun 20, 2020",Ramat Gan,Israel,0.18
"Jun 20, 2020",Petah Tikva,Israel,0.18
"Jun 20, 2020",Kyiv,Ukraine,0.43
"Jun 19, 2020",Makati,Philippines,-0.92
"Jun 19, 2020",Manchester,United Kingdom,-0.74
"Jun 19, 2020",New Orleans,United States,-0.68
"Jun 19, 2020",Brasilia,Brazil,-0.65
"Jun 19, 2020",Bristol,United Kingdom,-0.62
"Jun 19, 2020",Cali,Colombia,-0.61
"Jun 19, 2020",Miami Beach,United States,-0.59
"Jun 19, 2020",Lima,Peru,-0.59
"Jun 19, 2020",Mexico City,Mexico,-0.59
"Jun 19, 2020",Luton,United Kingdom,-0.58
"Jun 19, 2020",Tampa,United States,-0.58
"Jun 19, 2020",Jakarta,Indonesia,-0.58
"Jun 19, 2020",Monterrey,Mexico,-0.57
"Jun 19, 2020",Stockholm,Sweden,-0.57
"Jun 19, 2020",South Tangerang,Indonesia,-0.57
"Jun 19, 2020",Berlin,Germany,-0.56
"Jun 19, 2020",Quito,Ecuador,-0.56
"Jun 19, 2020",Miami,United States,-0.55
"Jun 19, 2020",Recife,Brazil,-0.55
"Jun 19, 2020",Pittsburgh,United States,-0.55
"Jun 19, 2020",Puebla City,Mexico,-0.55
"Jun 19, 2020",Lisbon,Portugal,-0.54
"Jun 19, 2020",Buenos Aires,Argentina,-0.53
"Jun 19, 2020",Minneapolis,United States,-0.53
"Jun 19, 2020",Bogota,Colombia,-0.53
"Jun 19, 2020",Denver,United States,-0.52
"Jun 19, 2020",Florianopolis,Brazil,-0.51
"Jun 19, 2020",Calgary,Canada,-0.51
"Jun 19, 2020",Cape Town,South Africa,-0.51
"Jun 19, 2020",Boston,United States,-0.51
"Jun 19, 2020",Quezon City,Philippines,-0.51
"Jun 19, 2020",Doha,Qatar,-0.5
"Jun 19, 2020",Madrid,Spain,-0.5
"Jun 19, 2020",Portland,United States,-0.5
"Jun 19, 2020",Salvador,Brazil,-0.5
"Jun 19, 2020",San Jose,United States,-0.49
"Jun 19, 2020",Los Angeles,United States,-0.49
"Jun 19, 2020",Cincinnati,United States,-0.49
"Jun 19, 2020",Santiago De Queretaro,Mexico,-0.49
"Jun 19, 2020",Medellin,Colombia,-0.49
"Jun 19, 2020",Ottawa,Canada,-0.48
"Jun 19, 2020",San Francisco,United States,-0.48
"Jun 19, 2020",Mississauga,Canada,-0.48
"Jun 19, 2020",Fort Lauderdale,United States,-0.48
"Jun 19, 2020",San Diego,United States,-0.48
"Jun 19, 2020",Austin,United States,-0.48
"Jun 19, 2020",Liverpool,United Kingdom,-0.46
"Jun 19, 2020",Rio De Janeiro,Brazil,-0.46
"Jun 19, 2020",Guadalajara,Mexico,-0.45
"Jun 19, 2020",Barcelona,Spain,-0.44
"Jun 19, 2020",Zapopan,Mexico,-0.44
"Jun 19, 2020",Irvine,United States,-0.44
"Jun 19, 2020",Milan,Italy,-0.43
"Jun 19, 2020",Vitoria,Brazil,-0.43
"Jun 19, 2020",Phoenix,United States,-0.43
"Jun 19, 2020",Washington,United States,-0.42
"Jun 19, 2020",Birmingham,United Kingdom,-0.42
"Jun 19, 2020",Santiago,Chile,-0.42
"Jun 19, 2020",Houston,United States,-0.41
"Jun 19, 2020",Belo Horizonte,Brazil,-0.4
"Jun 19, 2020",Baltimore,United States,-0.4
"Jun 19, 2020",Dallas,United States,-0.4
"Jun 19, 2020",Toronto,Canada,-0.4
"Jun 19, 2020",Chicago,United States,-0.4
"Jun 19, 2020",Sao Paulo,Brazil,-0.39
"Jun 19, 2020",San Jose,Costa Rica,-0.38
"Jun 19, 2020",Atlanta,United States,-0.38
"Jun 19, 2020",Orlando,United States,-0.38
"Jun 19, 2020",Nashville,United States,-0.37
"Jun 19, 2020",San Antonio,United States,-0.37
"Jun 19, 2020",Amsterdam,Netherlands,-0.37
"Jun 19, 2020",Fortaleza,Brazil,-0.36
"Jun 19, 2020",Sacramento,United States,-0.36
"Jun 19, 2020",Philadelphia,United States,-0.36
"Jun 19, 2020",Curitiba,Brazil,-0.36
"Jun 19, 2020",Cambridge,United States,-0.36
"Jun 19, 2020",Rome,Italy,-0.36
"Jun 19, 2020",Detroit,United States,-0.35
"Jun 19, 2020",Oakland,United States,-0.35
"Jun 19, 2020",Las Condes,Chile,-0.35
"Jun 19, 2020",Brussels,Belgium,-0.35
"Jun 19, 2020",Bordeaux,France,-0.33
"Jun 19, 2020",Krakow,Poland,-0.33
"Jun 19, 2020",Bekasi,Indonesia,-0.33
"Jun 19, 2020",Warsaw,Poland,-0.32
"Jun 19, 2020",Melbourne,Australia,-0.32
"Jun 19, 2020",Vaughan,Canada,-0.32
"Jun 19, 2020",Fort Worth,United States,-0.32
"Jun 19, 2020",New York,United States,-0.31
"Jun 19, 2020",Guarulhos,Brazil,-0.31
"Jun 19, 2020",Seattle,United States,-0.3
"Jun 19, 2020",London,United Kingdom,-0.3
"Jun 19, 2020",Ghent,Belgium,-0.3
"Jun 19, 2020",Kuala Lumpur,Malaysia,-0.29
"Jun 19, 2020",Porto Alegre,Brazil,-0.29
"Jun 19, 2020",Manila,Philippines,-0.29
"Jun 19, 2020",Lviv,Ukraine,-0.29
"Jun 19, 2020",Hartford,United States,-0.28
"Jun 19, 2020",Hamilton,Canada,-0.28
"Jun 19, 2020",Montreal,Canada,-0.27
"Jun 19, 2020",Johor Bahru,Malaysia,-0.27
"Jun 19, 2020",Perth,Australia,-0.26
"Jun 19, 2020",Petaling Jaya,Malaysia,-0.25
"Jun 19, 2020",Charlotte,United States,-0.25
"Jun 19, 2020",Raleigh,United States,-0.25
"Jun 19, 2020",Jersey City,United States,-0.24
"Jun 19, 2020",Montevideo,Uruguay,-0.24
"Jun 19, 2020",Lille,France,-0.24
"Jun 19, 2020",Quebec City,Canada,-0.24
"Jun 19, 2020",Lyon,France,-0.24
"Jun 19, 2020",Singapore,Singapore,-0.23
"Jun 19, 2020",Gold Coast,Australia,-0.23
"Jun 19, 2020",Shah Alam,Malaysia,-0.19
"Jun 19, 2020",Antwerp,Belgium,-0.19
"Jun 19, 2020",Toulouse,France,-0.18
"Jun 19, 2020",Rotterdam,Netherlands,-0.17
"Jun 19, 2020",Brisbane,Australia,-0.15
"Jun 19, 2020",Bratislava,Slovakia,-0.13
"Jun 19, 2020",Bucharest,Romania,-0.13
"Jun 19, 2020",Budapest,Hungary,-0.12
"Jun 19, 2020",Paris,France,-0.11
"Jun 19, 2020",Petah Tikva,Israel,-0.09
"Jun 19, 2020",Tel Aviv-Yafo,Israel,-0.09
"Jun 19, 2020",Maipu,Chile,-0.08
"Jun 19, 2020",Puchong,Malaysia,-0.07
"Jun 19, 2020",Sydney,Australia,-0.05
"Jun 19, 2020",Haifa,Israel,-0.05
"Jun 19, 2020",Ipoh,Malaysia,-0.03
"Jun 19, 2020",Jerusalem,Israel,-0.03
"Jun 19, 2020",Be'er Sheva,Israel,-0.03
"Jun 19, 2020",Kaunas,Lithuania,-0.02
"Jun 19, 2020",Prague,Czechia,-0.01
"Jun 19, 2020",Marseille,France,0.0
"Jun 19, 2020",Vilnius,Lithuania,0.03
"Jun 19, 2020",Brno,Czechia,0.04
"Jun 19, 2020",Ramat Gan,Israel,0.06
"Jun 19, 2020",Riga,Latvia,0.11
"Jun 19, 2020",Rishon Letsiyon,Israel,0.12
"Jun 19, 2020",Kyiv,Ukraine,0.5
"Jun 18, 2020",Makati,Philippines,-0.84
"Jun 18, 2020",Bekasi,Indonesia,-0.68
"Jun 18, 2020",Cape Town,South Africa,-0.67
"Jun 18, 2020",Manchester,United Kingdom,-0.66
"Jun 18, 2020",Quito,Ecuador,-0.66
"Jun 18, 2020",Brasilia,Brazil,-0.64
"Jun 18, 2020",Vitoria,Brazil,-0.61
"Jun 18, 2020",Recife,Brazil,-0.61
"Jun 18, 2020",Lima,Peru,-0.6
"Jun 18, 2020",Mexico City,Mexico,-0.6
"Jun 18, 2020",Jakarta,Indonesia,-0.58
"Jun 18, 2020",Medellin,Colombia,-0.56
"Jun 18, 2020",Cali,Colombia,-0.55
"Jun 18, 2020",Monterrey,Mexico,-0.55
"Jun 18, 2020",Denver,United States,-0.55
"Jun 18, 2020",Salvador,Brazil,-0.55
"Jun 18, 2020",Madrid,Spain,-0.55
"Jun 18, 2020",Bogota,Colombia,-0.54
"Jun 18, 2020",Portland,United States,-0.53
"Jun 18, 2020",Miami,United States,-0.53
"Jun 18, 2020",Lisbon,Portugal,-0.53
"Jun 18, 2020",Puebla City,Mexico,-0.53
"Jun 18, 2020",San Diego,United States,-0.52
"Jun 18, 2020",Austin,United States,-0.52
"Jun 18, 2020",Quezon City,Philippines,-0.52
"Jun 18, 2020",Los Angeles,United States,-0.52
"Jun 18, 2020",Buenos Aires,Argentina,-0.52
"Jun 18, 2020",San Francisco,United States,-0.51
"Jun 18, 2020",Bristol,United Kingdom,-0.51
"Jun 18, 2020",Florianopolis,Brazil,-0.51
"Jun 18, 2020",Tampa,United States,-0.51
"Jun 18, 2020",San Jose,United States,-0.51
"Jun 18, 2020",Irvine,United States,-0.5
"Jun 18, 2020",Mississauga,Canada,-0.5
"Jun 18, 2020",Rio De Janeiro,Brazil,-0.5
"Jun 18, 2020",Washington,United States,-0.5
"Jun 18, 2020",San Antonio,United States,-0.49
"Jun 18, 2020",Miami Beach,United States,-0.49
"Jun 18, 2020",Ghent,Belgium,-0.48
"Jun 18, 2020",Detroit,United States,-0.48
"Jun 18, 2020",Manila,Philippines,-0.48
"Jun 18, 2020",Milan,Italy,-0.47
"Jun 18, 2020",Cincinnati,United States,-0.47
"Jun 18, 2020",Las Condes,Chile,-0.46
"Jun 18, 2020",Phoenix,United States,-0.46
"Jun 18, 2020",Santiago De Queretaro,Mexico,-0.46
"Jun 18, 2020",Santiago,Chile,-0.46
"Jun 18, 2020",Boston,United States,-0.45
"Jun 18, 2020",Houston,United States,-0.45
"Jun 18, 2020",Fort Lauderdale,United States,-0.45
"Jun 18, 2020",Melbourne,Australia,-0.45
"Jun 18, 2020",Minneapolis,United States,-0.45
"Jun 18, 2020",Fortaleza,Brazil,-0.45
"Jun 18, 2020",Zapopan,Mexico,-0.45
"Jun 18, 2020",Orlando,United States,-0.45
"Jun 18, 2020",Barcelona,Spain,-0.44
"Jun 18, 2020",Amsterdam,Netherlands,-0.44
"Jun 18, 2020",Sacramento,United States,-0.44
"Jun 18, 2020",Sao Paulo,Brazil,-0.44
"Jun 18, 2020",Belo Horizonte,Brazil,-0.43
"Jun 18, 2020",New Orleans,United States,-0.43
"Jun 18, 2020",Ottawa,Canada,-0.43
"Jun 18, 2020",Krakow,Poland,-0.43
"Jun 18, 2020",Guadalajara,Mexico,-0.42
"Jun 18, 2020",Jersey City,United States,-0.42
"Jun 18, 2020",Tangerang,Indonesia,-0.42
"Jun 18, 2020",Toronto,Canada,-0.41
"Jun 18, 2020",Curitiba,Brazil,-0.41
"Jun 18, 2020",Dallas,United States,-0.41
"Jun 18, 2020",Singapore,Singapore,-0.41
"Jun 18, 2020",Doha,Qatar,-0.41
"Jun 18, 2020",Baltimore,United States,-0.41
"Jun 18, 2020",Atlanta,United States,-0.4
"Jun 18, 2020",Seattle,United States,-0.4
"Jun 18, 2020",Liverpool,United Kingdom,-0.4
"Jun 18, 2020",Birmingham,United Kingdom,-0.4
"Jun 18, 2020",Chicago,United States,-0.39
"Jun 18, 2020",Pittsburgh,United States,-0.38
"Jun 18, 2020",Cambridge,United States,-0.38
"Jun 18, 2020",Guarulhos,Brazil,-0.38
"Jun 18, 2020",Porto Alegre,Brazil,-0.38
"Jun 18, 2020",Oakland,United States,-0.37
"Jun 18, 2020",Nashville,United States,-0.37
"Jun 18, 2020",Quebec City,Canada,-0.37
"Jun 18, 2020",Rome,Italy,-0.36
"Jun 18, 2020",Philadelphia,United States,-0.36
"Jun 18, 2020",Rotterdam,Netherlands,-0.36
"Jun 18, 2020",Charlotte,United States,-0.35
"Jun 18, 2020",London,United Kingdom,-0.35
"Jun 18, 2020",Vaughan,Canada,-0.33
"Jun 18, 2020",Maipu,Chile,-0.33
"Jun 18, 2020",Gold Coast,Australia,-0.33
"Jun 18, 2020",Luton,United Kingdom,-0.33
"Jun 18, 2020",Montevideo,Uruguay,-0.32
"Jun 18, 2020",Raleigh,United States,-0.31
"Jun 18, 2020",Brussels,Belgium,-0.31
"Jun 18, 2020",New York,United States,-0.31
"Jun 18, 2020",Fort Worth,United States,-0.3
"Jun 18, 2020",Warsaw,Poland,-0.29
"Jun 18, 2020",Montreal,Canada,-0.29
"Jun 18, 2020",Berlin,Germany,-0.28
"Jun 18, 2020",Hamilton,Canada,-0.28
"Jun 18, 2020",Kuala Lumpur,Malaysia,-0.28
"Jun 18, 2020",San Jose,Costa Rica,-0.28
"Jun 18, 2020",Johor Bahru,Malaysia,-0.27
"Jun 18, 2020",Antwerp,Belgium,-0.27
"Jun 18, 2020",Petaling Jaya,Malaysia,-0.25
"Jun 18, 2020",Bordeaux,France,-0.23
"Jun 18, 2020",Hartford,United States,-0.22
"Jun 18, 2020",Toulouse,France,-0.22
"Jun 18, 2020",Sydney,Australia,-0.21
"Jun 18, 2020",Perth,Australia,-0.21
"Jun 18, 2020",Lyon,France,-0.18
"Jun 18, 2020",Stockholm,Sweden,-0.17
"Jun 18, 2020",Shah Alam,Malaysia,-0.15
"Jun 18, 2020",Bratislava,Slovakia,-0.14
"Jun 18, 2020",Jerusalem,Israel,-0.13
"Jun 18, 2020",Lille,France,-0.13
"Jun 18, 2020",Brisbane,Australia,-0.12
"Jun 18, 2020",Bucharest,Romania,-0.11
"Jun 18, 2020",Be'er Sheva,Israel,-0.1
"Jun 18, 2020",Budapest,Hungary,-0.1
"Jun 18, 2020",Petah Tikva,Israel,-0.09
"Jun 18, 2020",South Tangerang,Indonesia,-0.09
"Jun 18, 2020",Paris,France,-0.09
"Jun 18, 2020",Marseille,France,-0.06
"Jun 18, 2020",Tel Aviv-Yafo,Israel,-0.06
"Jun 18, 2020",Kaunas,Lithuania,-0.04
"Jun 18, 2020",Haifa,Israel,0.0
"Jun 18, 2020",Prague,Czechia,0.01
"Jun 18, 2020",Rishon Letsiyon,Israel,0.01
"Jun 18, 2020",Vilnius,Lithuania,0.05
"Jun 18, 2020",Puchong,Malaysia,0.05
"Jun 18, 2020",Ramat Gan,Israel,0.06
"Jun 18, 2020",Brno,Czechia,0.13
"Jun 18, 2020",Riga,Latvia,0.17
"Jun 18, 2020",Calgary,Canada,0.19
"Jun 18, 2020",Ipoh,Malaysia,0.39
"Jun 18, 2020",Kyiv,Ukraine,0.5
"Jun 18, 2020",Lviv,Ukraine,0.95
"Jun 17, 2020",Luton,United Kingdom,-0.9
"Jun 17, 2020",Tangerang,Indonesia,-0.87
"Jun 17, 2020",Cambridge,United States,-0.78
"Jun 17, 2020",Miami Beach,United States,-0.78
"Jun 17, 2020",Irvine,United States,-0.7
"Jun 17, 2020",Makati,Philippines,-0.67
"Jun 17, 2020",Brasilia,Brazil,-0.67
"Jun 17, 2020",Cape Town,South Africa,-0.62
"Jun 17, 2020",Mexico City,Mexico,-0.6
"Jun 17, 2020",Cali,Colombia,-0.6
"Jun 17, 2020",Medellin,Colombia,-0.6
"Jun 17, 2020",Quito,Ecuador,-0.6
"Jun 17, 2020",Vitoria,Brazil,-0.6
"Jun 17, 2020",Minneapolis,United States,-0.6
"Jun 17, 2020",Birmingham,United Kingdom,-0.59
"Jun 17, 2020",Lima,Peru,-0.59
"Jun 17, 2020",Las Condes,Chile,-0.58
"Jun 17, 2020",Jakarta,Indonesia,-0.57
"Jun 17, 2020",Tampa,United States,-0.57
"Jun 17, 2020",Monterrey,Mexico,-0.56
"Jun 17, 2020",Madrid,Spain,-0.56
"Jun 17, 2020",Recife,Brazil,-0.56
"Jun 17, 2020",Salvador,Brazil,-0.55
"Jun 17, 2020",Lisbon,Portugal,-0.55
"Jun 17, 2020",San Francisco,United States,-0.55
"Jun 17, 2020",Pittsburgh,United States,-0.55
"Jun 17, 2020",Bogota,Colombia,-0.54
"Jun 17, 2020",Zapopan,Mexico,-0.54
"Jun 17, 2020",Buenos Aires,Argentina,-0.53
"Jun 17, 2020",Hartford,United States,-0.53
"Jun 17, 2020",Miami,United States,-0.52
"Jun 17, 2020",San Diego,United States,-0.52
"Jun 17, 2020",Puebla City,Mexico,-0.52
"Jun 17, 2020",Manchester,United Kingdom,-0.52
"Jun 17, 2020",Santiago De Queretaro,Mexico,-0.51
"Jun 17, 2020",Los Angeles,United States,-0.51
"Jun 17, 2020",San Jose,United States,-0.5
"Jun 17, 2020",Austin,United States,-0.5
"Jun 17, 2020",Fort Lauderdale,United States,-0.5
"Jun 17, 2020",Denver,United States,-0.5
"Jun 17, 2020",Detroit,United States,-0.49
"Jun 17, 2020",Boston,United States,-0.49
"Jun 17, 2020",Rio De Janeiro,Brazil,-0.49
"Jun 17, 2020",Dallas,United States,-0.48
"Jun 17, 2020",Santiago,Chile,-0.48
"Jun 17, 2020",Washington,United States,-0.47
"Jun 17, 2020",Phoenix,United States,-0.47
"Jun 17, 2020",Florianopolis,Brazil,-0.47
"Jun 17, 2020",Sacramento,United States,-0.46
"Jun 17, 2020",Orlando,United States,-0.46
"Jun 17, 2020",Houston,United States,-0.44
"Jun 17, 2020",Mississauga,Canada,-0.44
"Jun 17, 2020",Amsterdam,Netherlands,-0.43
"Jun 17, 2020",Quezon City,Philippines,-0.43
"Jun 17, 2020",Fortaleza,Brazil,-0.43
"Jun 17, 2020",Sao Paulo,Brazil,-0.43
"Jun 17, 2020",San Jose,Costa Rica,-0.43
"Jun 17, 2020",Toronto,Canada,-0.42
"Jun 17, 2020",San Antonio,United States,-0.42
"Jun 17, 2020",Belo Horizonte,Brazil,-0.41
"Jun 17, 2020",Milan,Italy,-0.41
"Jun 17, 2020",Atlanta,United States,-0.41
"Jun 17, 2020",Charlotte,United States,-0.41
"Jun 17, 2020",Guadalajara,Mexico,-0.41
"Jun 17, 2020",Chicago,United States,-0.4
"Jun 17, 2020",Barcelona,Spain,-0.39
"Jun 17, 2020",Guarulhos,Brazil,-0.38
"Jun 17, 2020",Nashville,United States,-0.38
"Jun 17, 2020",Curitiba,Brazil,-0.38
"Jun 17, 2020",Singapore,Singapore,-0.37
"Jun 17, 2020",Portland,United States,-0.37
"Jun 17, 2020",Doha,Qatar,-0.36
"Jun 17, 2020",Porto Alegre,Brazil,-0.35
"Jun 17, 2020",Ottawa,Canada,-0.35
"Jun 17, 2020",Baltimore,United States,-0.35
"Jun 17, 2020",Melbourne,Australia,-0.34
"Jun 17, 2020",Raleigh,United States,-0.34
"Jun 17, 2020",London,United Kingdom,-0.34
"Jun 17, 2020",Philadelphia,United States,-0.33
"Jun 17, 2020",Manila,Philippines,-0.33
"Jun 17, 2020",Rome,Italy,-0.33
"Jun 17, 2020",Ghent,Belgium,-0.31
"Jun 17, 2020",Oakland,United States,-0.3
"Jun 17, 2020",Calgary,Canada,-0.3
"Jun 17, 2020",New Orleans,United States,-0.29
"Jun 17, 2020",Montreal,Canada,-0.29
"Jun 17, 2020",New York,United States,-0.28
"Jun 17, 2020",Perth,Australia,-0.28
"Jun 17, 2020",Kuala Lumpur,Malaysia,-0.27
"Jun 17, 2020",Seattle,United States,-0.27
"Jun 17, 2020",Rotterdam,Netherlands,-0.27
"Jun 17, 2020",Vaughan,Canada,-0.25
"Jun 17, 2020",Fort Worth,United States,-0.25
"Jun 17, 2020",Quebec City,Canada,-0.25
"Jun 17, 2020",Puchong,Malaysia,-0.24
"Jun 17, 2020",Jersey City,United States,-0.23
"Jun 17, 2020",Lille,France,-0.22
"Jun 17, 2020",Cincinnati,United States,-0.22
"Jun 17, 2020",Petaling Jaya,Malaysia,-0.22
"Jun 17, 2020",Toulouse,France,-0.21
"Jun 17, 2020",Brussels,Belgium,-0.21
"Jun 17, 2020",Antwerp,Belgium,-0.2
"Jun 17, 2020",Montevideo,Uruguay,-0.19
"Jun 17, 2020",Bordeaux,France,-0.18
"Jun 17, 2020",Bristol,United Kingdom,-0.17
"Jun 17, 2020",Sydney,Australia,-0.17
"Jun 17, 2020",Bratislava,Slovakia,-0.17
"Jun 17, 2020",Lyon,France,-0.16
"Jun 17, 2020",Shah Alam,Malaysia,-0.15
"Jun 17, 2020",Berlin,Germany,-0.15
"Jun 17, 2020",Brisbane,Australia,-0.13
"Jun 17, 2020",Johor Bahru,Malaysia,-0.13
"Jun 17, 2020",Bucharest,Romania,-0.13
"Jun 17, 2020",Jerusalem,Israel,-0.13
"Jun 17, 2020",Hamilton,Canada,-0.12
"Jun 17, 2020",Petah Tikva,Israel,-0.09
"Jun 17, 2020",Gold Coast,Australia,-0.08
"Jun 17, 2020",Ramat Gan,Israel,-0.08
"Jun 17, 2020",Brno,Czechia,-0.07
"Jun 17, 2020",Warsaw,Poland,-0.07
"Jun 17, 2020",Budapest,Hungary,-0.05
"Jun 17, 2020",Paris,France,-0.04
"Jun 17, 2020",Vilnius,Lithuania,-0.03
"Jun 17, 2020",Krakow,Poland,-0.01
"Jun 17, 2020",Tel Aviv-Yafo,Israel,-0.01
"Jun 17, 2020",Haifa,Israel,-0.01
"Jun 17, 2020",Marseille,France,0.01
"Jun 17, 2020",Be'er Sheva,Israel,0.01
"Jun 17, 2020",Stockholm,Sweden,0.03
"Jun 17, 2020",Rishon Letsiyon,Israel,0.05
"Jun 17, 2020",Prague,Czechia,0.07
